bench name,total times (s),vc gen times (s),dec proc times (s),symb exec times (s),postprocess eq (s),SSA times (s),solver times (s),iterations,result (success/fail)
aws_add_size_checked,3.444,0.009,0.067,0.005,0.000,0.004,0.063,1,success
aws_add_size_saturating,3.447,0.007,0.114,0.003,0.000,0.004,0.110,1,success
aws_array_eq,5.630,0.106,0.331,0.077,0.000,0.029,0.301,1,success
aws_array_eq_c_str,5.534,0.074,0.184,0.051,0.000,0.023,0.161,1,success
aws_array_eq_c_str_ignore_case,5.534,0.151,0.649,0.057,0.000,0.094,0.555,1,success
aws_array_eq_ignore_case,5.536,0.151,0.660,0.061,0.000,0.090,0.569,1,success
aws_array_list_back,13.785,1.009,7.895,0.565,0.000,0.444,7.450,1,success
aws_array_list_capacity,5.530,0.416,1.191,0.222,0.000,0.194,0.997,1,success
aws_array_list_clean_up,5.523,0.206,0.252,0.121,0.000,0.085,0.166,1,success
aws_array_list_clear,5.511,0.373,0.739,0.215,0.000,0.158,0.581,1,success
aws_array_list_comparator_string,7.624,0.417,1.337,0.351,0.000,0.066,1.270,1,success
aws_array_list_copy,34.392,1.430,28.995,0.777,0.000,0.653,28.341,1,success
aws_array_list_ensure_capacity,20.008,1.197,14.864,0.667,0.000,0.530,14.332,1,success
aws_array_list_erase,172.636,3.530,165.815,1.885,0.001,1.644,164.167,1,success
aws_array_list_front,7.594,0.793,3.318,0.462,0.000,0.331,2.985,1,success
aws_array_list_get_at,11.728,0.868,5.888,0.462,0.000,0.406,5.479,1,success
aws_array_list_get_at_ptr,11.730,0.806,6.215,0.433,0.000,0.373,5.842,1,success
aws_array_list_init_dynamic,5.521,0.202,0.362,0.118,0.000,0.084,0.278,1,success
aws_array_list_init_static,9.639,0.239,4.239,0.118,0.000,0.121,4.117,1,success
aws_array_list_length,7.590,0.389,2.038,0.226,0.000,0.163,1.875,1,success
aws_array_list_pop_back,13.775,0.898,8.229,0.492,0.000,0.406,7.822,1,success
aws_array_list_pop_front,17.929,1.532,12.237,0.840,0.000,0.692,11.544,1,success
aws_array_list_pop_front_n,20.003,1.115,13.682,0.586,0.000,0.529,13.152,1,success
aws_array_list_push_back,259.178,2.435,253.643,1.347,0.000,1.088,252.553,1,success
aws_array_list_set_at,32.334,1.989,25.838,1.072,0.000,0.917,24.920,1,success
aws_array_list_shrink_to_fit,38.556,1.694,33.136,0.883,0.000,0.811,32.323,1,success
aws_array_list_sort,26.189,0.842,20.776,0.426,0.000,0.416,20.358,1,success
aws_array_list_swap,83.886,2.005,77.746,1.102,0.000,0.903,76.841,1,success
aws_array_list_swap_contents,13.817,0.774,7.770,0.438,0.000,0.336,7.433,1,success
aws_byte_buf_advance,7.628,0.716,1.267,0.681,0.000,0.035,1.231,1,success
aws_byte_buf_append,5.548,0.529,0.706,0.487,0.000,0.042,0.663,1,success
aws_byte_buf_append_dynamic,255.243,0.762,248.775,0.709,0.000,0.053,248.720,1,success
aws_byte_buf_append_with_lookup,7.597,0.646,2.468,0.529,0.000,0.117,2.350,1,success
aws_byte_buf_cat,69.512,1.903,62.180,1.806,0.001,0.096,62.082,1,success
aws_byte_buf_clean_up,5.560,0.116,0.029,0.110,0.000,0.006,0.023,1,success
aws_byte_buf_clean_up_secure,7.601,0.368,2.049,0.324,0.000,0.044,2.005,1,success
aws_byte_buf_eq,5.542,0.597,0.631,0.554,0.000,0.043,0.587,1,success
aws_byte_buf_eq_c_str,5.571,0.288,0.312,0.258,0.000,0.030,0.281,1,success
aws_byte_buf_eq_c_str_ignore_case,5.543,0.352,0.713,0.253,0.000,0.099,0.613,1,success
aws_byte_buf_eq_ignore_case,5.560,0.642,0.895,0.538,0.000,0.104,0.791,1,success
aws_byte_buf_from_array,5.531,0.116,0.177,0.108,0.000,0.008,0.169,1,success
aws_byte_buf_from_c_str,5.532,0.144,0.086,0.129,0.000,0.015,0.071,1,success
aws_byte_buf_from_empty_array,5.529,0.115,0.129,0.108,0.000,0.007,0.122,1,success
aws_byte_buf_init,5.516,0.113,0.029,0.107,0.000,0.006,0.023,1,success
aws_byte_buf_init_copy,7.616,1.324,0.774,1.281,0.000,0.043,0.730,1,success
aws_byte_buf_init_copy_from_cursor,5.537,0.300,0.329,0.271,0.000,0.029,0.299,1,success
aws_byte_buf_reserve,5.538,0.288,0.238,0.267,0.000,0.021,0.217,1,success
aws_byte_buf_reserve_relative,5.538,0.396,0.480,0.369,0.000,0.027,0.452,1,success
aws_byte_buf_reset,5.538,0.188,0.206,0.170,0.000,0.018,0.188,1,success
aws_byte_buf_secure_zero,9.662,0.310,3.482,0.267,0.000,0.043,3.439,1,success
aws_byte_buf_write,22.035,0.343,16.733,0.319,0.000,0.024,16.708,1,success
aws_byte_buf_write_be16,5.533,0.343,0.121,0.323,0.000,0.020,0.100,1,success
aws_byte_buf_write_be32,5.531,0.347,0.142,0.325,0.000,0.022,0.119,1,success
aws_byte_buf_write_be64,5.560,0.367,0.206,0.339,0.000,0.028,0.178,1,success
aws_byte_buf_write_from_whole_buffer,7.605,0.602,1.431,0.551,0.000,0.051,1.379,1,success
aws_byte_buf_write_from_whole_cursor,5.532,0.527,0.397,0.495,0.000,0.032,0.364,1,success
aws_byte_buf_write_from_whole_string,11.750,0.544,6.369,0.489,0.000,0.055,6.312,1,success
aws_byte_buf_write_u8,5.545,0.339,0.094,0.321,0.000,0.018,0.076,1,success
aws_byte_cursor_advance,5.545,0.233,1.084,0.218,0.000,0.015,1.068,1,success
aws_byte_cursor_advance_nospec,5.530,0.238,1.567,0.218,0.000,0.020,1.546,1,success
aws_byte_cursor_compare_lexical,5.556,0.657,0.689,0.600,0.000,0.057,0.631,1,success
aws_byte_cursor_compare_lookup,22.086,2.861,14.457,2.455,0.000,0.406,14.049,1,success
aws_byte_cursor_eq,5.538,0.522,0.426,0.484,0.000,0.038,0.388,1,success
aws_byte_cursor_eq_byte_buf,5.549,0.558,0.430,0.519,0.000,0.039,0.390,1,success
aws_byte_cursor_eq_byte_buf_ignore_case,5.563,0.601,0.690,0.501,0.000,0.100,0.589,1,success
aws_byte_cursor_eq_c_str,5.556,0.244,0.220,0.218,0.000,0.026,0.193,1,success
aws_byte_cursor_eq_c_str_ignore_case,5.545,0.321,0.649,0.224,0.000,0.097,0.552,1,success
aws_byte_cursor_eq_ignore_case,5.595,0.563,0.702,0.465,0.000,0.098,0.604,1,success
aws_byte_cursor_from_array,6.154,0.102,0.121,0.095,0.000,0.007,0.114,1,success
