Name,Timing,Result
add_size_checked_unsat_test,0.633718,passed
add_size_saturating_unsat_test,0.654494,passed
mul_size_checked_unsat_test,0.908626,passed
mul_size_saturating_unsat_test,0.899328,passed
is_power_of_two_unsat_test,0.630859,passed
round_up_to_power_of_two_unsat_test,0.863613,passed
nospec_mask_unsat_test,0.757449,passed
ptr_eq_unsat_test,0.711695,passed
array_eq_unsat_test,2.30796,passed
array_eq_c_str_unsat_test,1.74943,passed
array_eq_c_str_ignore_case_unsat_test,0.82662,passed
array_eq_ignore_case_unsat_test,2.05991,passed
array_list_back_unsat_test,1.27292,passed
array_list_capacity_unsat_test,1.02188,passed
array_list_clean_up_unsat_test,0.690513,passed
array_list_clear_unsat_test,1.60632,passed
array_list_comparator_string_unsat_test,6.15727,passed
array_list_copy_unsat_test,3.26257,passed
array_list_ensure_capacity_unsat_test,1.85082,passed
array_list_erase_unsat_test,2.04792,passed
array_list_front_unsat_test,1.23316,passed
array_list_get_at_unsat_test,0.899056,passed
array_list_get_at_ptr_unsat_test,1.06161,passed
array_list_init_dynamic_unsat_test,1.16607,passed
array_list_init_static_unsat_test,1.27387,passed
array_list_length_unsat_test,1.04414,passed
array_list_pop_back_unsat_test,1.57328,passed
array_list_pop_front_unsat_test,1.55525,passed
array_list_pop_front_n_unsat_test,2.99048,passed
array_list_push_back_unsat_test,2.24029,passed
array_list_set_at_unsat_test,9.52191,passed
array_list_shrink_to_fit_unsat_test,1.8294,passed
array_list_sort_unsat_test,0.965279,passed
array_list_swap_unsat_test,10.0071,passed
array_list_swap_contents_unsat_test,1.63959,passed
byte_buf_advance_unsat_test,0.870879,passed
byte_buf_append_unsat_test,0.839612,passed
byte_buf_append_dynamic_unsat_test,0.982801,passed
byte_buf_append_with_lookup_unsat_test,1.20794,passed
byte_buf_cat_unsat_test,1.89256,passed
byte_buf_clean_up_unsat_test,0.715554,passed
byte_buf_clean_up_secure_unsat_test,0.75742,passed
byte_buf_eq_unsat_test,2.23117,passed
byte_buf_eq_c_str_unsat_test,0.903694,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.916759,passed
byte_buf_eq_ignore_case_unsat_test,2.14856,passed
byte_buf_from_array_unsat_test,0.764279,passed
byte_buf_from_c_str_unsat_test,1.8123,passed
byte_buf_from_empty_array_unsat_test,0.763457,passed
byte_buf_init_unsat_test,0.773,passed
byte_buf_init_copy_unsat_test,2.98512,passed
byte_buf_init_copy_from_cursor_unsat_test,0.834591,passed
byte_buf_reserve_unsat_test,0.783467,passed
byte_buf_reserve_relative_unsat_test,0.847438,passed
byte_buf_reset_unsat_test,0.822292,passed
byte_buf_secure_zero_unsat_test,0.84432,passed
byte_buf_write_unsat_test,1.03922,passed
byte_buf_write_be16_unsat_test,0.831576,passed
byte_buf_write_be32_unsat_test,0.835365,passed
byte_buf_write_be64_unsat_test,0.830772,passed
byte_buf_write_from_whole_buffer_unsat_test,1.18073,passed
byte_buf_write_from_whole_cursor_unsat_test,1.1142,passed
byte_buf_write_from_whole_string_unsat_test,2.8734,passed
byte_buf_write_u8_unsat_test,0.742958,passed
byte_cursor_advance_unsat_test,0.885392,passed
byte_cursor_advance_nospec_unsat_test,0.993512,passed
byte_cursor_compare_lexical_unsat_test,1.45468,passed
byte_cursor_compare_lookup_unsat_test,2.05421,passed
byte_cursor_eq_unsat_test,1.43075,passed
byte_cursor_eq_byte_buf_unsat_test,1.30231,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,2.04078,passed
byte_cursor_eq_c_str_unsat_test,0.897851,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.884554,passed
byte_cursor_eq_ignore_case_unsat_test,1.64657,passed
byte_cursor_from_array_unsat_test,0.690186,passed
byte_cursor_from_buf_unsat_test,0.820994,passed
byte_cursor_from_c_str_unsat_test,1.52268,passed
byte_cursor_from_string_unsat_test,0.837712,passed
byte_cursor_left_trim_pred_unsat_test,0.820696,passed
byte_cursor_read_unsat_test,1.10739,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.2553,passed
byte_cursor_read_be16_unsat_test,0.818728,passed
byte_cursor_read_be32_unsat_test,1.27392,passed
byte_cursor_read_be64_unsat_test,1.71176,passed
byte_cursor_read_u8_unsat_test,0.865171,passed
byte_cursor_right_trim_pred_unsat_test,0.858221,passed
byte_cursor_satisfies_pred_unsat_test,0.80403,passed
byte_cursor_trim_pred_unsat_test,1.15755,passed
hash_ptr_unsat_test,0.77025,passed
hash_string_unsat_test,1.14089,passed
hash_array_ignore_case_unsat_test,0.830104,passed
hash_byte_cursor_ptr_unsat_test,2.78306,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,0.810064,passed
hash_c_string_unsat_test,1.75557,passed
hash_callback_string_eq_unsat_test,6.70648,passed
hash_callback_c_str_eq_unsat_test,6.0323,passed
hash_callback_string_destroy_unsat_test,0.843682,passed
hash_iter_begin_unsat_test,2.0501,passed
hash_iter_begin_done_unsat_test,2.2929,passed
hash_iter_next_unsat_test,1.86563,passed
hash_iter_done_unsat_test,1.24358,passed
hash_iter_delete_unsat_test,27.9824,passed
hash_table_eq_unsat_test,25.0354,passed
hash_table_get_entry_count_unsat_test,1.08314,passed
hash_table_move_unsat_test,0.891308,passed
hash_table_swap_unsat_test,2.21331,passed
hash_table_clean_up_unsat_test,1.4535,passed
hash_table_clear_unsat_test,1.39177,passed
hash_table_create_unsat_test,14.7593,passed
hash_table_foreach_unsat_test,8.58289,passed
hash_table_find_unsat_test,2.85771,passed
hash_table_init_bounded_unsat_test,3.67753,passed
hash_table_init_unbounded_unsat_test,1.85974,passed
hash_table_put_unsat_test,14.0144,passed
hash_table_remove_unsat_test,8.2171,passed
linked_list_back_unsat_test,1.85633,passed
linked_list_begin_unsat_test,2.25982,passed
linked_list_end_unsat_test,1.83068,passed
linked_list_front_unsat_test,2.40006,passed
linked_list_init_unsat_test,0.650108,passed
linked_list_remove_unsat_test,0.670288,passed
