Name,Timing,Result
add_size_checked_unsat_test,0.547,passed
add_size_saturating_unsat_test,0.599794,passed
mul_size_checked_unsat_test,0.853614,passed
mul_size_saturating_unsat_test,0.742558,passed
is_power_of_two_unsat_test,0.633006,passed
round_up_to_power_of_two_unsat_test,0.733016,passed
nospec_mask_unsat_test,0.712142,passed
ptr_eq_unsat_test,0.698969,passed
array_eq_unsat_test,1.33922,passed
array_eq_c_str_unsat_test,1.58541,passed
array_eq_c_str_ignore_case_unsat_test,0.811256,passed
array_eq_ignore_case_unsat_test,0.906195,passed
array_list_back_unsat_test,2.83465,passed
array_list_capacity_unsat_test,0.765026,passed
array_list_clean_up_unsat_test,0.69023,passed
array_list_clear_unsat_test,0.804054,passed
array_list_comparator_string_unsat_test,3.55807,passed
array_list_copy_unsat_test,5.85407,passed
array_list_ensure_capacity_unsat_test,0.872237,passed
array_list_erase_unsat_test,7.32614,passed
array_list_front_unsat_test,4.28332,passed
array_list_get_at_unsat_test,0.77237,passed
array_list_get_at_ptr_unsat_test,0.831229,passed
array_list_init_dynamic_unsat_test,0.765053,passed
array_list_init_static_unsat_test,0.755266,passed
array_list_length_unsat_test,0.788396,passed
array_list_pop_back_unsat_test,4.06456,passed
array_list_pop_front_unsat_test,5.94679,passed
array_list_pop_front_n_unsat_test,5.11784,passed
array_list_push_back_unsat_test,9.48148,passed
array_list_set_at_unsat_test,6.1295,passed
array_list_shrink_to_fit_unsat_test,6.39125,passed
array_list_sort_unsat_test,0.798592,passed
array_list_swap_unsat_test,2.38242,passed
array_list_swap_contents_unsat_test,0.932513,passed
byte_buf_advance_unsat_test,0.83823,passed
byte_buf_append_unsat_test,0.813819,passed
byte_buf_append_dynamic_unsat_test,0.869091,passed
byte_buf_append_with_lookup_unsat_test,0.959428,passed
byte_buf_cat_unsat_test,1.50353,passed
byte_buf_clean_up_unsat_test,0.729112,passed
byte_buf_clean_up_secure_unsat_test,0.751538,passed
byte_buf_eq_unsat_test,1.41343,passed
byte_buf_eq_c_str_unsat_test,0.826091,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.846834,passed
byte_buf_eq_ignore_case_unsat_test,1.01337,passed
byte_buf_from_array_unsat_test,0.746018,passed
byte_buf_from_c_str_unsat_test,1.68345,passed
byte_buf_from_empty_array_unsat_test,0.699627,passed
byte_buf_init_unsat_test,0.76264,passed
byte_buf_init_copy_unsat_test,1.60176,passed
byte_buf_init_copy_from_cursor_unsat_test,0.828971,passed
byte_buf_reserve_unsat_test,0.758487,passed
byte_buf_reserve_relative_unsat_test,0.793514,passed
byte_buf_reset_unsat_test,0.784737,passed
byte_buf_secure_zero_unsat_test,0.787803,passed
byte_buf_write_unsat_test,0.878058,passed
byte_buf_write_be16_unsat_test,0.796357,passed
byte_buf_write_be32_unsat_test,0.788514,passed
byte_buf_write_be64_unsat_test,0.801816,passed
byte_buf_write_from_whole_buffer_unsat_test,1.01974,passed
byte_buf_write_from_whole_cursor_unsat_test,0.990977,passed
byte_buf_write_from_whole_string_unsat_test,4.38079,passed
byte_buf_write_u8_unsat_test,0.783623,passed
byte_cursor_advance_unsat_test,0.786926,passed
byte_cursor_advance_nospec_unsat_test,0.807503,passed
byte_cursor_compare_lexical_unsat_test,1.1743,passed
byte_cursor_compare_lookup_unsat_test,1.00423,passed
byte_cursor_eq_unsat_test,1.30017,passed
byte_cursor_eq_byte_buf_unsat_test,0.917164,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,0.806537,passed
byte_cursor_eq_c_str_unsat_test,0.756671,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.902656,passed
byte_cursor_eq_ignore_case_unsat_test,0.935153,passed
byte_cursor_from_array_unsat_test,0.743407,passed
byte_cursor_from_buf_unsat_test,0.800562,passed
byte_cursor_from_c_str_unsat_test,1.39695,passed
byte_cursor_from_string_unsat_test,0.692924,passed
byte_cursor_left_trim_pred_unsat_test,0.798403,passed
byte_cursor_read_unsat_test,0.895245,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.02966,passed
byte_cursor_read_be16_unsat_test,0.817677,passed
byte_cursor_read_be32_unsat_test,0.810035,passed
byte_cursor_read_be64_unsat_test,0.822365,passed
byte_cursor_read_u8_unsat_test,0.804033,passed
byte_cursor_right_trim_pred_unsat_test,0.793985,passed
byte_cursor_satisfies_pred_unsat_test,0.783238,passed
byte_cursor_trim_pred_unsat_test,0.905162,passed
hash_ptr_unsat_test,0.753768,passed
hash_string_unsat_test,1.01621,passed
hash_array_ignore_case_unsat_test,0.80373,passed
hash_byte_cursor_ptr_unsat_test,1.48549,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,0.755028,passed
hash_c_string_unsat_test,1.24845,passed
hash_callback_string_eq_unsat_test,4.04276,passed
hash_callback_c_str_eq_unsat_test,7.25235,passed
hash_callback_string_destroy_unsat_test,0.785182,passed
hash_iter_begin_unsat_test,3.6164,passed
hash_iter_begin_done_unsat_test,4.39079,passed
hash_iter_next_unsat_test,4.092,passed
hash_iter_done_unsat_test,1.11457,passed
hash_iter_delete_unsat_test,1.81558,passed
hash_table_eq_unsat_test,201.332,passed
hash_table_get_entry_count_unsat_test,0.944664,passed
hash_table_move_unsat_test,0.954661,passed
hash_table_swap_unsat_test,1.77182,passed
hash_table_clean_up_unsat_test,1.31452,passed
hash_table_clear_unsat_test,1.37193,passed
hash_table_create_unsat_test,21.629,passed
hash_table_foreach_unsat_test,15.1641,passed
hash_table_find_unsat_test,1.76517,passed
hash_table_init_bounded_unsat_test,2.71696,passed
hash_table_init_unbounded_unsat_test,1.09524,passed
hash_table_put_unsat_test,13.0391,passed
hash_table_remove_unsat_test,21.9676,passed
linked_list_back_unsat_test,1.74362,passed
linked_list_begin_unsat_test,1.73364,passed
linked_list_end_unsat_test,1.81386,passed
linked_list_front_unsat_test,3.00072,passed
linked_list_init_unsat_test,0.658938,passed
linked_list_remove_unsat_test,0.645645,passed
linked_list_pop_back_unsat_test,1.91874,passed
linked_list_pop_front_unsat_test,1.97125,passed
linked_list_prev_unsat_test,0.597126,passed
linked_list_next_unsat_test,0.646303,passed
linked_list_node_reset_unsat_test,0.652989,passed
linked_list_push_back_unsat_test,2.44353,passed
linked_list_push_front_unsat_test,3.64184,passed
linked_list_swap_contents_unsat_test,35.7858,passed
linked_list_insert_after_unsat_test,0.590608,passed
linked_list_insert_before_unsat_test,0.657344,passed
linked_list_rbegin_unsat_test,4.3538,passed
linked_list_rend_unsat_test,1.84397,passed
string_bytes_unsat_test,0.841285,passed
string_compare_unsat_test,4.10634,passed
string_eq_unsat_test,3.04689,passed
string_eq_byte_buf_unsat_test,1.50442,passed
string_eq_byte_buf_ignore_case_unsat_test,1.00432,passed
string_eq_byte_cursor_unsat_test,1.83892,passed
string_eq_byte_cursor_ignore_case_unsat_test,1.16341,passed
string_eq_c_str_unsat_test,4.03336,passed
string_eq_c_str_ignore_case_unsat_test,2.60353,passed
string_eq_ignore_case_unsat_test,1.65167,passed
string_new_from_array_unsat_test,2.00293,passed
string_new_from_c_str_unsat_test,0.865653,passed
string_new_from_string_unsat_test,2.04337,passed
string_destroy_unsat_test,0.78158,passed
string_destroy_secure_unsat_test,0.816123,passed
