Name,Timing,Result
add_size_checked_unsat_test,0.553852,passed
add_size_saturating_unsat_test,0.602216,passed
mul_size_checked_unsat_test,0.830666,passed
mul_size_saturating_unsat_test,0.731211,passed
is_power_of_two_unsat_test,0.62516,passed
round_up_to_power_of_two_unsat_test,0.747252,passed
nospec_mask_unsat_test,0.718431,passed
ptr_eq_unsat_test,0.698834,passed
array_eq_unsat_test,1.34197,passed
array_eq_c_str_unsat_test,1.54142,passed
array_eq_c_str_ignore_case_unsat_test,0.793451,passed
array_eq_ignore_case_unsat_test,0.848121,passed
array_list_back_unsat_test,2.78739,passed
array_list_capacity_unsat_test,0.770674,passed
array_list_clean_up_unsat_test,0.694017,passed
array_list_clear_unsat_test,0.794502,passed
array_list_comparator_string_unsat_test,2.66267,passed
array_list_copy_unsat_test,5.72048,passed
array_list_ensure_capacity_unsat_test,0.818861,passed
array_list_erase_unsat_test,17.3951,passed
array_list_front_unsat_test,6.05509,passed
array_list_get_at_unsat_test,0.858997,passed
array_list_get_at_ptr_unsat_test,0.820496,passed
array_list_init_dynamic_unsat_test,0.768942,passed
array_list_init_static_unsat_test,0.74898,passed
array_list_length_unsat_test,0.793058,passed
array_list_pop_back_unsat_test,4.15223,passed
array_list_pop_front_unsat_test,4.8399,passed
array_list_pop_front_n_unsat_test,21.8764,passed
array_list_push_back_unsat_test,13.5628,passed
array_list_set_at_unsat_test,140.146,passed
array_list_shrink_to_fit_unsat_test,6.19346,passed
array_list_sort_unsat_test,0.728821,passed
array_list_swap_unsat_test,4.13636,passed
array_list_swap_contents_unsat_test,0.867986,passed
byte_buf_advance_unsat_test,0.761659,passed
byte_buf_append_unsat_test,0.801402,passed
byte_buf_append_dynamic_unsat_test,0.804346,passed
byte_buf_append_with_lookup_unsat_test,1.03053,passed
byte_buf_cat_unsat_test,1.64325,passed
byte_buf_clean_up_unsat_test,0.671102,passed
byte_buf_clean_up_secure_unsat_test,0.696919,passed
byte_buf_eq_unsat_test,1.44256,passed
byte_buf_eq_c_str_unsat_test,0.754966,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.835942,passed
byte_buf_eq_ignore_case_unsat_test,0.951374,passed
byte_buf_from_array_unsat_test,0.743396,passed
byte_buf_from_c_str_unsat_test,1.25081,passed
byte_buf_from_empty_array_unsat_test,0.618566,passed
byte_buf_init_unsat_test,0.75217,passed
byte_buf_init_copy_unsat_test,1.44422,passed
byte_buf_init_copy_from_cursor_unsat_test,0.803913,passed
byte_buf_reserve_unsat_test,0.732368,passed
byte_buf_reserve_relative_unsat_test,0.788608,passed
byte_buf_reset_unsat_test,0.776659,passed
byte_buf_secure_zero_unsat_test,0.786593,passed
byte_buf_write_unsat_test,1.2124,passed
byte_buf_write_be16_unsat_test,0.759381,passed
byte_buf_write_be32_unsat_test,0.802965,passed
byte_buf_write_be64_unsat_test,0.793575,passed
byte_buf_write_from_whole_buffer_unsat_test,1.02996,passed
byte_buf_write_from_whole_cursor_unsat_test,0.995603,passed
byte_buf_write_from_whole_string_unsat_test,4.34194,passed
byte_buf_write_u8_unsat_test,0.790696,passed
byte_cursor_advance_unsat_test,0.738118,passed
byte_cursor_advance_nospec_unsat_test,0.802082,passed
byte_cursor_compare_lexical_unsat_test,1.1965,passed
byte_cursor_compare_lookup_unsat_test,1.00795,passed
byte_cursor_eq_unsat_test,1.27269,passed
byte_cursor_eq_byte_buf_unsat_test,1.0571,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,0.860305,passed
byte_cursor_eq_c_str_unsat_test,0.808797,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.78448,passed
byte_cursor_eq_ignore_case_unsat_test,0.871629,passed
byte_cursor_from_array_unsat_test,0.739596,passed
byte_cursor_from_buf_unsat_test,0.788244,passed
byte_cursor_from_c_str_unsat_test,1.11516,passed
byte_cursor_from_string_unsat_test,0.665195,passed
byte_cursor_left_trim_pred_unsat_test,0.797925,passed
byte_cursor_read_unsat_test,1.04954,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.23162,passed
byte_cursor_read_be16_unsat_test,0.789691,passed
byte_cursor_read_be32_unsat_test,0.795854,passed
byte_cursor_read_be64_unsat_test,0.812143,passed
byte_cursor_read_u8_unsat_test,0.794199,passed
