Name,Timing,Result
add_size_checked_unsat_test,0.614239,passed
nospec_mask_unsat_test,0.642991,passed
is_power_of_two_unsat_test,0.635479,passed
ptr_eq_unsat_test,0.715449,passed
round_up_to_power_of_two_unsat_test,0.741887,passed
mul_size_saturating_unsat_test,0.871031,passed
mul_size_checked_unsat_test,0.886637,passed
add_size_saturating_unsat_test,0.899603,passed
array_eq_c_str_ignore_case_unsat_test,1.00668,passed
array_list_clean_up_unsat_test,0.692066,passed
array_eq_ignore_case_unsat_test,1.67529,passed
array_list_capacity_unsat_test,1.0787,passed
array_list_back_unsat_test,1.20442,passed
array_eq_c_str_unsat_test,1.86764,passed
array_list_front_unsat_test,1.36316,passed
array_eq_unsat_test,2.45376,passed
array_list_get_at_ptr_unsat_test,0.866663,passed
array_list_clear_unsat_test,1.85389,passed
array_list_get_at_unsat_test,1.24425,passed
array_list_length_unsat_test,1.04181,passed
array_list_init_static_unsat_test,1.20322,passed
array_list_init_dynamic_unsat_test,1.44028,passed
array_list_ensure_capacity_unsat_test,2.42275,passed
array_list_pop_back_unsat_test,1.47842,passed
array_list_sort_unsat_test,1.01678,passed
array_list_pop_front_unsat_test,1.85207,passed
byte_buf_advance_unsat_test,0.931501,passed
array_list_copy_unsat_test,3.96055,passed
array_list_swap_contents_unsat_test,1.59079,passed
byte_buf_append_unsat_test,0.929251,passed
byte_buf_append_dynamic_unsat_test,1.18238,passed
byte_buf_clean_up_unsat_test,0.776352,passed
byte_buf_clean_up_secure_unsat_test,0.879771,passed
array_list_pop_front_n_unsat_test,3.34546,passed
byte_buf_append_with_lookup_unsat_test,1.20996,passed
array_list_erase_unsat_test,5.21124,passed
array_list_shrink_to_fit_unsat_test,3.28223,passed
byte_buf_from_array_unsat_test,0.741085,passed
byte_buf_eq_c_str_unsat_test,1.06887,passed
byte_buf_cat_unsat_test,2.02598,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.00892,passed
byte_buf_from_empty_array_unsat_test,0.735498,passed
byte_buf_init_unsat_test,0.748969,passed
byte_buf_init_copy_from_cursor_unsat_test,0.731251,passed
byte_buf_reserve_unsat_test,0.8172,passed
array_list_push_back_unsat_test,5.15547,passed
byte_buf_eq_unsat_test,2.25709,passed
byte_buf_eq_ignore_case_unsat_test,2.02379,passed
byte_buf_reserve_relative_unsat_test,0.990225,passed
byte_buf_from_c_str_unsat_test,1.93449,passed
array_list_comparator_string_unsat_test,7.29381,passed
byte_buf_reset_unsat_test,0.645651,passed
byte_buf_write_be32_unsat_test,0.600684,passed
byte_buf_write_be16_unsat_test,0.632729,passed
byte_buf_secure_zero_unsat_test,0.82148,passed
byte_buf_write_unsat_test,0.866574,passed
byte_buf_write_be64_unsat_test,0.728064,passed
byte_buf_write_u8_unsat_test,0.647828,passed
byte_buf_write_from_whole_buffer_unsat_test,0.938297,passed
byte_buf_write_from_whole_cursor_unsat_test,0.848951,passed
byte_cursor_advance_unsat_test,0.588754,passed
byte_cursor_advance_nospec_unsat_test,0.787088,passed
byte_cursor_eq_byte_buf_unsat_test,0.90272,passed
byte_cursor_eq_c_str_unsat_test,0.808916,passed
byte_cursor_compare_lexical_unsat_test,1.35505,passed
byte_cursor_eq_unsat_test,1.14578,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.875192,passed
byte_buf_init_copy_unsat_test,3.08264,passed
byte_cursor_from_array_unsat_test,0.573139,passed
byte_cursor_compare_lookup_unsat_test,1.77043,passed
byte_cursor_from_buf_unsat_test,0.668469,passed
byte_cursor_from_string_unsat_test,0.613567,passed
byte_cursor_left_trim_pred_unsat_test,0.591143,passed
byte_cursor_read_unsat_test,0.829124,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,1.91584,passed
byte_cursor_read_be16_unsat_test,0.612978,passed
byte_cursor_read_u8_unsat_test,0.531661,passed
byte_cursor_from_c_str_unsat_test,1.25608,passed
byte_cursor_eq_ignore_case_unsat_test,1.92738,passed
byte_cursor_read_and_fill_buffer_unsat_test,0.932348,passed
byte_cursor_right_trim_pred_unsat_test,0.534825,passed
