Name,Timing,Result
symbiotic_is_power_of_two_test,1.515958,passed
symbiotic_round_up_to_power_of_two_test,4.046049,passed
symbiotic_ptr_eq_test,4.671042,passed
symbiotic_array_eq_ignore_case_test,6.290933,passed
symbiotic_array_list_capacity_test,5.474102,passed
symbiotic_array_list_back_test,8.467914,passed
symbiotic_array_list_clean_up_test,4.724258,passed
symbiotic_add_size_saturating_test,8.886539,passed
symbiotic_array_list_clear_test,4.150718,passed
symbiotic_array_eq_test,9.633242,passed
symbiotic_array_list_comparator_string_test,4.348738,passed
symbiotic_add_size_checked_test,11.656799,passed
symbiotic_array_eq_c_str_test,12.400516,passed
symbiotic_array_eq_c_str_ignore_case_test,15.828431,passed
symbiotic_array_list_front_test,6.972152,passed
symbiotic_array_list_length_test,5.479497,passed
symbiotic_array_list_get_at_ptr_test,8.745562,passed
symbiotic_array_list_get_at_test,9.530712,passed
symbiotic_array_list_pop_back_test,10.120248,passed
symbiotic_array_list_pop_front_test,17.798371,passed
symbiotic_array_list_pop_front_n_test,23.865669,passed
symbiotic_array_list_sort_test,8.093429,passed
symbiotic_array_list_erase_test,40.334799,passed
symbiotic_array_list_init_static_test,43.936742,passed
symbiotic_byte_buf_advance_test,8.880398,passed
symbiotic_array_list_swap_contents_test,16.766813,passed
symbiotic_array_list_swap_test,18.280318,passed
symbiotic_array_list_push_back_test,44.513344,passed
symbiotic_byte_buf_clean_up_test,2.05541,passed
symbiotic_array_list_shrink_to_fit_test,40.64458,passed
symbiotic_byte_buf_append_test,11.664072,passed
symbiotic_byte_buf_clean_up_secure_test,2.457513,passed
symbiotic_byte_buf_append_with_lookup_test,9.295327,passed
symbiotic_mul_size_saturating_test,77.413389,passed
symbiotic_byte_buf_from_array_test,2.407168,passed
symbiotic_byte_buf_eq_test,13.762205,passed
symbiotic_byte_buf_eq_c_str_test,13.874403,passed
symbiotic_byte_buf_from_empty_array_test,2.24551,passed
symbiotic_byte_buf_eq_c_str_ignore_case_test,16.80622,passed
symbiotic_byte_buf_init_test,3.228677,passed
symbiotic_byte_buf_eq_ignore_case_test,16.878187,passed
symbiotic_byte_buf_from_c_str_test,5.665581,passed
symbiotic_array_list_copy_test,80.543497,passed
symbiotic_byte_buf_reset_test,2.297113,passed
symbiotic_byte_buf_init_copy_from_cursor_test,3.744924,passed
symbiotic_byte_buf_init_copy_test,5.961528,passed
symbiotic_byte_buf_reserve_test,4.830248,passed
symbiotic_byte_buf_secure_zero_test,2.274849,passed
symbiotic_byte_buf_write_be16_test,4.390989,passed
symbiotic_byte_buf_reserve_relative_test,8.028613,passed
symbiotic_byte_buf_write_be32_test,4.821084,passed
symbiotic_byte_buf_write_be64_test,6.426368,passed
symbiotic_byte_buf_write_test,8.537576,passed
symbiotic_byte_buf_write_u8_test,4.161123,passed
symbiotic_byte_buf_write_from_whole_string_test,6.698325,passed
symbiotic_byte_buf_write_from_whole_buffer_test,13.066588,passed
symbiotic_byte_buf_write_from_whole_cursor_test,10.569678,passed
symbiotic_byte_cursor_advance_test,8.597914,passed
symbiotic_array_list_init_dynamic_test,96.177627,passed
symbiotic_byte_cursor_compare_lexical_test,10.832756,passed
symbiotic_byte_cursor_eq_test,7.796607,passed
symbiotic_byte_cursor_compare_lookup_test,10.614911,passed
symbiotic_byte_cursor_from_array_test,2.209961,passed
